Open,High,Low,Close,Adj Close,Volume
29.275,29.434999,29.25,29.4125,27.713835,94154800
29.487499,29.59,29.327499,29.5625,27.855171,192516000
28.577499,28.924999,28.327499,28.897499,27.22858,264536800
28.8475,28.965,28.525,28.620001,26.967106,138248000
28.467501,28.8025,28.362499,28.43,26.788078,151446800
28.4125,28.557501,28.299999,28.385,26.745678,105677600
28.365,28.442499,27.6325,27.872499,26.262774,175303200
27.85,28.0875,27.807501,27.897499,26.286331,113326800
27.745001,27.865,27.387501,27.4575,26.004578,107730400
27.1325,27.5625,27.0275,27.209999,25.770168,123348000
27.52,27.627501,27.365,27.602501,26.141905,130240000
27.577499,27.93,27.424999,27.764999,26.295801,97016800
27.469999,27.83,27.012501,27.719999,26.253185,236705600
27.772499,27.772499,26.4575,26.9475,25.521561,228538000
26.780001,27.217501,26.637501,27.1075,25.673098,136575600
26.9275,26.952499,26.02,26.4275,25.029079,204702000
26.6425,26.92,26.540001,26.7775,25.360559,129058000
26.674999,27.557501,26.65,27.497499,26.042459,235362000
27.452499,27.5875,27.2075,27.487499,26.032988,110528000
27.43,27.635,27.415001,27.514999,26.059032,113715600
27.530001,27.997499,27.502501,27.932501,26.454443,117058400
27.987499,28.105,27.85,27.950001,26.471014,103862000
27.84,27.877501,27.5825,27.807501,26.336056,109705600
27.782499,27.967501,27.737499,27.9475,26.468649,45903600
27.8575,28.1175,27.8475,27.8925,26.416559,108776000
27.695,28.0075,27.5175,27.865,26.390514,114115200
27.9,28.049999,27.567499,27.629999,26.167948,144649200
27.592501,27.735001,27.2575,27.372499,25.924074,148347600
27.2925,27.522499,27.2125,27.475,26.021151,106112000
27.5,27.5075,27.0625,27.2775,25.834101,137298000
27.375,27.59,27.297501,27.487499,26.032988,104782000
27.315001,27.797501,27.290001,27.7575,26.2887,119994800
27.715,28.1075,27.65,28.030001,26.54678,108273200
28.077499,28.674999,28.077499,28.487499,26.980076,137610400
28.3225,28.75,28.122499,28.325001,26.826172,105497600
28.459999,28.98,28.4375,28.797501,27.27367,174935200
28.76,29.049999,28.745001,28.797501,27.27367,136127200
28.844999,29.182501,28.807501,28.955,27.422834,186098000
29.1175,29.125,28.9125,28.9925,27.458349,177404400
28.950001,29.344999,28.9375,29.16,27.616987,111117600
